timestamp,test-class,test-method,time,description,result
2021-06-03 21:26:02.401,acme.testing.administrator.word.AdministratorWordListTest,listWord,4947,"[2] recordIndex=1, word=has ganado",OK
2021-06-03 21:26:07.518,acme.testing.administrator.word.AdministratorWordListTest,listWord,4933,"[3] recordIndex=2, word=millón de dólares",OK
2021-06-03 21:26:21.076,acme.testing.authenticated.task.AuthenticatedTaskListTest,listTask,5869,"[1] recordIndex=0, title=Crear lista de tasks para administrator, description=Crear repositorio de la clase Task para posterior implementación en Service, link=https://github.com/Antonio-Gonzalez-Gomez/DP2-G50-Sprint2/issues/2, startDate=2021/04/03 10:00, endingDate=2021/04/05 12:00, workload=7.00, finished=true, privacy=false, executionPeriod=2000",OK
2021-06-03 21:26:37.238,acme.testing.manager.task.ManagerTaskCreateTest,createTaskPositive,8473,"[1] recordIndex=5, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:26:45.644,acme.testing.manager.task.ManagerTaskCreateTest,createTaskPositive,8218,"[2] recordIndex=6, title=creacion2, description=Creacion de nueva task 2, link=null, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=false, execution_period=24, manager_id=21",OK
2021-06-03 21:26:51.518,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5703,"[1] recordIndex=4, title=null, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:26:57.411,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5720,"[2] recordIndex=5, title=creacion1, description=null, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:27:03.163,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5566,"[3] recordIndex=6, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=null, ending_date=2022/10/21 12:00, workload=10.00, finished=finished, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:27:09.113,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5763,"[4] recordIndex=7, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=null, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:27:14.985,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5699,"[5] recordIndex=8, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=null, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:27:20.954,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5784,"[6] recordIndex=9, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2010/10/20 12:00, ending_date=2010/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:27:26.893,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5756,"[7] recordIndex=10, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/21 12:00, ending_date=2022/10/20 12:00, workload=10.00, finished=false, privacy=true, execution_period=-24, manager_id=21",OK
2021-06-03 21:27:32.819,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5753,"[8] recordIndex=11, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/25 12:00, workload=100.00, finished=false, privacy=true, execution_period=120, manager_id=21",OK
2021-06-03 21:27:38.754,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5762,"[9] recordIndex=12, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/20 15:00, workload=50.00, finished=true, privacy=false, execution_period=3, manager_id=21",OK
2021-06-03 21:27:44.675,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5732,"[10] recordIndex=13, title=sexo sexo, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:27:50.644,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5794,"[11] recordIndex=14, title=creacion1, description=viagra cialis, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:27:56.533,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5718,"[12] recordIndex=15, title=decimales1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.61, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:28:02.441,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,5736,"[13] recordIndex=16, title=decimales2, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.111, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:28:15.942,acme.testing.manager.task.ManagerTaskListTest,listTask,5801,"[1] recordIndex=0, title=Crear repositorio de la clase Task, description=Crear repositorio de la clase Task para posterior implementación en Service, link=https://github.com/Antonio-Gonzalez-Gomez/DP2-G50-Sprint2/issues/2, startDate=2021/04/03 10:00, endingDate=2021/04/05 12:00, workload=6.00, finished=true, privacy=true, executionPeriod=50",OK
2021-06-03 21:28:21.959,acme.testing.manager.task.ManagerTaskListTest,listTask,5829,"[2] recordIndex=1, title=Crear lista de tasks para anonymous, description=Crear lista de las tasks para usuarios con anonymous, link=https://github.com/Antonio-Gonzalez-Gomez/DP2-G50-Sprint2/issues/8, startDate=2021/04/03 10:00, endingDate=2021/04/05 12:00, workload=8.00, finished=false, privacy=true, executionPeriod=50",OK
2021-06-03 21:28:36.114,acme.testing.manager.task.ManagerTaskDeleteTest,updateTaskPositive,6504,"[1] recordIndex=0, title1=Crear repositorio de la clase Task, title2=Crear lista de tasks para anonymous",OK
2021-06-03 21:28:53.068,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskPositive,9285,"[1] recordIndex=0, title=update1, description=Update de task 1, link=http://www.acme.com, start_date=2022/11/20 12:00, ending_date=2022/11/21 12:00, workload=15.00, finished=false, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:29:02.676,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskPositive,9438,"[2] recordIndex=1, title=update2, description=Update de task 2, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=15.00, finished=true, privacy=false, execution_period=24, manager_id=18",OK
2021-06-03 21:29:09.193,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6322,"[1] recordIndex=0, title=null, description=Modificacion de task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:29:15.767,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6384,"[2] recordIndex=0, title=update1, description=null, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:29:22.097,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6159,"[3] recordIndex=0, title=update1, description=Modificacion de task 1, link=http://www.acme.com, start_date=null, ending_date=2022/10/21 12:00, workload=10.00, finished=finished, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:29:28.581,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6312,"[4] recordIndex=0, title=update1, description=Modificacion de task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=null, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:29:35.066,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6298,"[5] recordIndex=0, title=update1, description=Modificacion de task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=null, finished=false, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:29:41.644,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6393,"[6] recordIndex=0, title=update1, description=Modificacion de task 1, link=http://www.acme.com, start_date=2010/10/20 12:00, ending_date=2010/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:29:48.177,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6357,"[7] recordIndex=0, title=update1, description=Modificacion de task 1, link=http://www.acme.com, start_date=2022/10/21 12:00, ending_date=2022/10/20 12:00, workload=10.00, finished=false, privacy=true, execution_period=-24, manager_id=18",OK
2021-06-03 21:29:54.69,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6328,"[8] recordIndex=0, title=update1, description=Modificacion de task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/25 12:00, workload=100.00, finished=false, privacy=true, execution_period=120, manager_id=18",OK
2021-06-03 21:30:01.582,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6723,"[9] recordIndex=0, title=update1, description=Modificacion de task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/20 15:00, workload=50.00, finished=true, privacy=false, execution_period=3, manager_id=18",OK
2021-06-03 21:30:08.096,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6326,"[10] recordIndex=0, title=sexo sexo, description=Modificacion de task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:30:14.595,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6325,"[11] recordIndex=0, title=update1, description=viagra cialis, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:30:21.128,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6343,"[12] recordIndex=0, title=decimales1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.61, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:30:27.614,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,6314,"[13] recordIndex=0, title=decimales2, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.111, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:30:36.073,acme.testing.anonymous.shout.AnonymousShoutListTest,listShout,1443,"[1] recordIndex=0, moment=2021/06/01 12:30, author=Luke Skywalker, text=May the 4th be with you",OK
2021-06-03 21:30:46.668,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositiveShout,2913,"[1] recordIndex=1, moment=2021/06/10 10:30, author=BB8, text=Bip Bop Bip",OK
2021-06-03 21:30:48.504,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegativeShout,1656,"[1] recordIndex=2, moment=2021/06/2 10:30, author=null, text=I am your father",OK
2021-06-03 21:30:50.349,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegativeShout,1659,"[2] recordIndex=3, moment=2021/06/3 10:30, author=Kylo Ren, text=null",OK
2021-06-03 21:30:52.221,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegativeShout,1683,"[3] recordIndex=4, moment=2021/06/2 10:35, author=Kylo Ren, text=I am your cialis",OK
2021-06-03 21:31:02.425,acme.testing.anonymous.task.AnonymousTaskListTest,listTask,2655,"[1] recordIndex=0, title=Crear tests, description=Creación de tests para las funcionalidades implementadas, link=https://github.com/vicsorvaz/DP2-G50-Sprint3/issues/6, startDate=2021/04/03 10:00, endingDate=2021/04/06 12:00, workload=9.00, finished=false, privacy=false, executionPeriod=3200",OK
2021-06-03 21:31:15.113,acme.testing.SignUpTest,positiveSignUp,5658,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com, phone=+1 (123) 456",OK
2021-06-03 21:31:21.003,acme.testing.SignUpTest,positiveSignUp,5701,"[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com, phone=null",OK
2021-06-03 21:31:26.896,acme.testing.SignUpTest,positiveSignUp,5691,"[3] username=leslie, password=leslie, name=Leslie Marti, surname=Ramport, email=leslie@us.es, phone=+34 945552342",OK
2021-06-03 21:31:32.785,acme.testing.SignUpTest,positiveSignUp,5701,"[4] username=robert, password=robert, name=Robert, surname=Johnson, email=robert@mail.server.com, phone=+32 (1234) 56890",OK
2021-06-03 21:31:38.633,acme.testing.SignUpTest,positiveSignUp,5677,"[5] username=pepeluis, password=pepeluis, name=José Luis, surname=Sørensen, email=ppepe.sorensen@sweden.sw, phone=+99 (99) 9999",OK
2021-06-03 21:31:44.456,acme.testing.SignUpTest,positiveSignUp,5649,"[6] username=luisa, password=luisa, name=Luisa, surname=Martínez López, email=luisa@luisa.name, phone=null",OK
2021-06-03 21:31:50.362,acme.testing.SignUpTest,positiveSignUp,5716,"[7] username=lukas, password=lukas, name=Lukas, surname=Smith, email=lukas@mail.com, phone=+1 (123) 456789",OK
2021-06-03 21:31:56.222,acme.testing.SignUpTest,positiveSignUp,5687,"[8] username=mary-dt, password=mary-dt, name=Mary, surname=Design-Testing, email=mary@email.com, phone=+34 954552770",OK
2021-06-03 21:32:02.078,acme.testing.SignUpTest,positiveSignUp,5669,"[9] username=jorge, password=jorge, name=Jorge, surname=Libertad, email=jorge@yahoo.com, phone=+41 (123) 123123",OK
2021-06-03 21:32:07.952,acme.testing.SignUpTest,positiveSignUp,5700,"[10] username=sonia, password=sonia, name=Snojia Guðrún, surname=Þor-Anaïs, email=sonja@liberty.de, phone=null",OK
2021-06-03 21:32:13.799,acme.testing.SignUpTest,positiveSignUp,5675,"[11] username=parker, password=parker, name=Parker Sigurður, surname=Mañón-Perigüeñez, email=parker@outlook.com, phone=+1 (555) 676767",OK
2021-06-03 21:32:19.677,acme.testing.SignUpTest,positiveSignUp,5705,"[12] username=manolo, password=manolo, name=Manuel Raúl, surname=Benítez López, email=manolo@engineer.com, phone=+34 567123",OK
